"","V1","V2","V3","V4"
"Non-motorists involved",1,0.00838342879437533,0.00206808509534045,0
"School bus",0.408327881686091,0.390861755086436,0.517423902586918,0.354238149286877
"Located at intersection",0.429093235006645,0.503548785666626,0.420415737380747,0.630236471876376
"Single lane road",0.0249689583123257,0.0058715756884412,0.0164649056075614,0.00865791335255482
"Bus driver distracted",0.347941595430981,0.197529981385598,0.271166564873587,0.320613775688444
"Other driver distracted",0.000999261688836699,0.255758053903193,0.310102351468267,0.0491019463566876
"Bus driver impaired or speeding",0,0.00346293904241518,0.00848122349138073,0.00621491100277885
"Other driver impaired or speeding",0.0467515385070087,0.209979350646062,0.229586116087137,0.104620446916469
"Male",0.547508559955453,0.627922463198447,0.568401273104328,0.653031379511287
"Pickup truck, SUV or van involved",0,0.230931534262899,0.27654028238647,0.299426441816831
"Light / heavy truck involved",0.000999261688836699,0.234195279759973,0.215475805296219,0.188798842531187
"Surface conditions adverse",0.231747909870735,0.284134688177409,0.316599952751567,0.256410544468652
"Daylight",0.89214389898168,0.866113073293759,0.899321968382614,0.816805763329289
